citekey,entry_type,title,year,doi,source_bibliographies,bibliographic_status,reading_status,pdf_status,note_path,pdf_path
hohenberg1964,article,Inhomogeneous Electron Gas,1964,10.1103/PhysRev.136.B864,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,located-local-copy,20_references/ksdft2effmass/hohenberg1964.md,assets/references/ksdft2effmass/hohenberg1964.pdf
kohn1965,article,Self-Consistent Equations Including Exchange and Correlation Effects,1965,10.1103/PhysRev.140.A1133,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,located-local-copy,20_references/ksdft2effmass/kohn1965.md,assets/references/ksdft2effmass/kohn1965.pdf
perdew1996,article,Generalized Gradient Approximation Made Simple,1996,10.1103/PhysRevLett.77.3865,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,located-local-copy,20_references/ksdft2effmass/perdew1996.md,assets/references/ksdft2effmass/perdew1996.pdf
giannozzi2009,article,QUANTUM ESPRESSO: A Modular and Open-Source Software Project for Quantum Simulations of Materials,2009,10.1088/0953-8984/21/39/395502,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,located-local-copy,20_references/ksdft2effmass/giannozzi2009.md,assets/references/ksdft2effmass/giannozzi2009.pdf
hamann2013,article,Optimized Norm-Conserving Vanderbilt Pseudopotentials,2013,10.1103/PhysRevB.88.085117,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/hamann2013.md,
vansetten2018,article,The PseudoDojo: Training and Grading a 85 Element Optimized Norm-Conserving Pseudopotential Table,2018,10.1016/j.cpc.2018.01.012,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/vansetten2018.md,
monkhorst1976,article,Special Points for Brillouin-Zone Integrations,1976,10.1103/PhysRevB.13.5188,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/monkhorst1976.md,
wannier1937,article,The Structure of Electronic Excitation Levels in Insulating Crystals,1937,10.1103/PhysRev.52.191,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/wannier1937.md,
kohn1959,article,Analytic Properties of Bloch Waves and Wannier Functions,1959,10.1103/PhysRev.115.809,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/kohn1959.md,
marzari2012,article,Maximally Localized Wannier Functions: Theory and Applications,2012,10.1103/RevModPhys.84.1419,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/marzari2012.md,
souza2001,article,Maximally Localized Wannier Functions for Entangled Energy Bands,2001,10.1103/PhysRevB.65.035109,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,located-local-copy,20_references/ksdft2effmass/souza2001.md,assets/references/ksdft2effmass/souza2001.pdf
pizzi2020,article,Wannier90 as a Community Code: New Features and Applications,2020,10.1088/1361-648X/ab51ff,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/pizzi2020.md,
bjork1973,article,Numerical Methods for Computing Angles Between Linear Subspaces,1973,10.1090/S0025-5718-1973-0348991-3,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/bjork1973.md,
higham1986,article,Computing the Polar Decomposition-with Applications,1986,10.1137/0907079,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/higham1986.md,
slater1954,article,Simplified LCAO Method for the Periodic Potential Problem,1954,10.1103/PhysRev.94.1498,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/slater1954.md,
vogl1983,article,A Semi-Empirical Tight-Binding Theory of the Electronic Structure of Semiconductors,1983,10.1016/0022-3697(83)90064-1,docs/publications/research-monograph/references.bib;docs/publications/papers/ksdft2effmass.P01/latex/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/vogl1983.md,
feshbach1958,article,Unified Theory of Nuclear Reactions,1958,10.1016/0003-4916(58)90007-1,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/feshbach1958.md,
feshbach1962,article,A Unified Theory of Nuclear Reactions. II,1962,10.1016/0003-4916(62)90221-X,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/feshbach1962.md,
davis1970,article,The Rotation of Eigenvectors by a Perturbation. III,1970,10.1137/0707001,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/davis1970.md,
nielsenchuang2010,book,Quantum Computation and Quantum Information: 10th Anniversary Edition,2010,,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,located-local-copy,20_references/ksdft2effmass/nielsenchuang2010.md,assets/references/ksdft2effmass/nielsenchuang2010.pdf
teschl2014,book,"Mathematical Methods in Quantum Mechanics: With Applications to Schr\""odinger Operators",2014,10.1090/gsm/157,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/teschl2014.md,
reedSimon1975,book,"Methods of Modern Mathematical Physics II: Fourier Analysis, Self-Adjointness",1975,,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,located-local-copy,20_references/ksdft2effmass/reedSimon1975.md,assets/references/ksdft2effmass/reedSimon1975.pdf
schmudgen2012,book,Unbounded Self-adjoint Operators on Hilbert Space,2012,10.1007/978-94-007-4753-1,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/schmudgen2012.md,
simon2005,book,Trace Ideals and Their Applications,2005,10.1090/surv/120,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/simon2005.md,
