edge_id,source_observation_id,target_candidate_id,relation,source_locator
citation-edge:sha256:07000fc1579317ffa78ae9d4127a32930d3a5885ef6b5d1393dff49c76fa7ac7,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:483e4919ba4fc877b424c7c998d8aa3cfb404f6fa13ee7bb6cd3673ef7e79de5,cites,"References [1], article pp. 26-28"
citation-edge:sha256:93e1084770c372ac259478d627bb1b2f2338951acf6a77ae97841d9caf7ba7fb,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:732472e5f84f979bb8d2003899288f737ff7b82167aea82da50ed1e51a9ea3f4,cites,"References [2], article pp. 26-28"
citation-edge:sha256:6a9185c519a69a3bb0ce9858a16dc4471d4edcf87e2606125c92a0097bf1b640,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:172f9d8a2ceddc8af07eb11246fa6b1dc7670f76fa3b614b5a84e53d1018d3b6,cites,"References [3], article pp. 26-28"
citation-edge:sha256:92769fbbdab6693cd5c3348bd10dc8f1ee6a3c76c2b355abcead91014f0948a1,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:dff23055967ef9e5834bf4cfe6e610ae06052f31361e96305d884cc0075d0aa5,cites,"References [4], article pp. 26-28"
citation-edge:sha256:81148b9aae023a34bf75720b28b7ac230d1bef1307b9c914633afea6643877ec,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:43d12325574ff71e2beb44799e8750ab3d6844e43d5839b5712854fb79ced765,cites,"References [5], article pp. 26-28"
citation-edge:sha256:d9b9da9a8327ccbcf6c0f886255ae98719f51360238854726f66812e7e56ec70,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:c5947f3f448615156f20ba5bf5204426e35cda0f2505e01a660055c61cf90097,cites,"References [6], article pp. 26-28"
citation-edge:sha256:3c7f5fa37b508c435630c9323aa71aad55b4ff59655a83a5a4433b337ee0336e,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:2afbf6dd71458b8cc71a7070b1282f4b89bd1421b2894ec19697d30a341e9a6c,cites,"References [7], article pp. 26-28"
citation-edge:sha256:7a46d743ee3727323e4edfa0e78cefd97a155ead90cfc44bbb80e04ecc0c5d38,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:cc0b6ad5cf8c56ee94daec456bfd96df042699238dc0bcf112cae4af186647c0,cites,"References [8], article pp. 26-28"
citation-edge:sha256:c6be66027c1eee1805cd9aae5bb564253b5512bd67cf2099fdad1d2cb465bf18,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:ca1361a6856b3d8ef10d7e0d9d8eb22c5ab9a604c9f3c3cdd2906a921eddec4b,cites,"References [9], article pp. 26-28"
citation-edge:sha256:2bf37f13e9306925f8b0c5385b72b70792e1efd92c38b1f8ae00c6d2df717bdf,citation-source:sha256:203c25f5def367bbdb36ba21bc104bacafe71dffae5b040ea2cdae24e05f1661,citation-candidate:sha256:c024124bd61a8d23afe06fc3a98918ebfbc6f7a172dac8ebe9aa90c8229933a1,cites,"References [10], article pp. 26-28"
